nname,name_raw,inst_id,inst_name,inst_country,n_obs,n_sys
1 baoji university arts science,(1) Baoji University of Arts and Sciences / 宝鸡文理 学院,U00003,(1) Baoji University of Arts and Sciences / 宝鸡文理 学院,,1,1
1 bgc trust university bangladesh,(1) BGC Trust University Bangladesh,U00001,(1) BGC Trust University Bangladesh,,1,1
1 bi norwegian business school handelshoyskolen bi,(1) BI Norwegian Business School / Handelshøyskolen BI,U00002,(1) BI Norwegian Business School / Handelshøyskolen BI,,1,1
1 centurion university technology management,(1) Centurion University of Technology and Management,U00005,(1) Centurion University of Technology and Management,,1,1
1 changsha university,(1) Changsha University / 长沙学院,U00006,(1) Changsha University / 长沙学院,,1,1
1 cuny lehman college,(1) CUNY Lehman College,U00004,(1) CUNY Lehman College,,1,1
1 december 1918 university,1 December 1918 University,U00085,1 December 1918 University,,1,1
1 friedrich alexander university erlangen nurnberg fau,(1) Friedrich Alexander Universität Erlangen Nürnberg FAU,U00008,(1) Friedrich Alexander Universität Erlangen Nürnberg FAU,,1,1
1 haagse school hague university applied science,(1) De Haagse Hogeschool / The Hague University of Applied Sciences,U00007,(1) De Haagse Hogeschool / The Hague University of Applied Sciences,,1,1
1 hebei north university,(1) Hebei North University / 河北北方学院,U00009,(1) Hebei North University / 河北北方学院,,1,1
1 hengyang normal university,(1) Hengyang Normal University / 衡阳师范学院,U00010,(1) Hengyang Normal University / 衡阳师范学院,,1,1
1 jiangsu university technology,(1) Jiangsu University of Technology / 江苏理工学院,U00012,(1) Jiangsu University of Technology / 江苏理工学院,,1,1
1 korea aerospace university hankuk aviation university,(1) Korea Aerospace University (Hankuk Aviation University) / 한국항공대학,U00013,(1) Korea Aerospace University (Hankuk Aviation University) / 한국항공대학,,1,1
1 korea university,(1) Korea University / 고려대학교,U00014,(1) Korea University / 고려대학교,,1,1
1 kunming medical university,(1) Kunming Medical University / 昆明医科大学,U00015,(1) Kunming Medical University / 昆明医科大学,,1,1
1 kunming university science technology,(1) Kunming University of Science & Technology / 昆 明理工大学,U00016,(1) Kunming University of Science & Technology / 昆 明理工大学,,1,1
1 lanzhou university technology gansu university technology,(1) Lanzhou University of Technology (Gansu University of Technology) / 兰州理工大学,U00017,(1) Lanzhou University of Technology (Gansu University of Technology) / 兰州理工大学,,1,1
1 libera university internazionale studi sociali luiss guido carli,(1) Libera Università Internazionale degli Studi Sociali LUISS Guido Carli,U00018,(1) Libera Università Internazionale degli Studi Sociali LUISS Guido Carli,,1,1
1 medical university gdansk gdanski university medyczny,(1) Medical University of Gdansk / Gdański Uniwersytet Medyczny,U00019,(1) Medical University of Gdansk / Gdański Uniwersytet Medyczny,,1,1
1 nanchang institute technology,(1) Nanchang Institute of Technology / 南昌理工学 院,U00020,(1) Nanchang Institute of Technology / 南昌理工学 院,,1,1
1 norwegian university science technology norges teknisk naturvitenskapelige university,(1) Norwegian University of Science & Technology / Norges Teknisk-Naturvitenskapelige Universitet,U00021,(1) Norwegian University of Science & Technology / Norges Teknisk-Naturvitenskapelige Universitet,,1,1
1 pontificia university catolica valparaiso,(1) Pontificia Universidad Católica de Valparaíso,U00022,(1) Pontificia Universidad Católica de Valparaíso,,1,1
1 school national superieure formation lenseignement agriculture university federale toulouse midi pyrenees,(1) École Nationale Supérieure de Formation de l'Enseignement Agricole (Université Fédérale Toulouse Midi-Pyrénées),U00039,(1) École Nationale Supérieure de Formation de l'Enseignement Agricole (Université Fédérale Toulouse Midi-Pyrénées),,1,1
1 school saxion university applied science,(1) Hogeschool Saxion / Saxion University of Applied Sciences,U00011,(1) Hogeschool Saxion / Saxion University of Applied Sciences,,1,1
1 sungkyunkwan university,(1) Sungkyunkwan University / 성균관대학교,U00023,(1) Sungkyunkwan University / 성균관대학교,,1,1
1 tezpur university,(1) Tezpur University,U00024,(1) Tezpur University,,1,1
1 university antilles,(1) Université des Antilles,U00033,(1) Université des Antilles,,1,1
1 university california system,(1) University of California System,U00027,(1) University of California System,,1,1
1 university chinese academy science,(1) University of Chinese Academy of Sciences / 中国 科学院大学,U00028,(1) University of Chinese Academy of Sciences / 中国 科学院大学,,1,1
1 university coruna,(1) Universidade da Coruña,U00025,(1) Universidade da Coruña,,1,1
1 university kristen satya wacana,(1) Universitas Kristen Satya Wacana,U00026,(1) Universitas Kristen Satya Wacana,,1,1
1 university laurentienne laurentian university,(1) Université Laurentienne / Laurentian University,U00031,(1) Université Laurentienne / Laurentian University,,1,1
1 university medical pharmacy victor babes timisoara,(1) University of Medicine and Pharmacy Victor Babes Timisoara,U00029,(1) University of Medicine and Pharmacy Victor Babes Timisoara,,1,1
1 university ostrava ostravska univerzita v ostrave ou,(1) University of Ostrava / Ostravská univerzita v Ostravě OU,U00030,(1) University of Ostrava / Ostravská univerzita v Ostravě OU,,1,1
1 university reims university reims champagne ardenne comue university champagne,(1) Université de Reims / Université de Reims Champagne Ardenne (comUE Université de Champagne),U00032,(1) Université de Reims / Université de Reims Champagne Ardenne (comUE Université de Champagne),,1,1
1 windesheim university applied science,(1) Windesheim University of Applied Sciences,U00034,(1) Windesheim University of Applied Sciences,,1,1
1 xian university posts telecommunications,(1) Xi’an University of Posts & Telecommunications / 西安邮电学院,U00035,(1) Xi’an University of Posts & Telecommunications / 西安邮电学院,,1,1
1 yancheng institute technology,(1) Yancheng Institute of Technology / 盐城工学院,U00036,(1) Yancheng Institute of Technology / 盐城工学院,,1,1
1 zeppelin university,(1) Zeppelin Universität,U00037,(1) Zeppelin Universität,,1,1
1 zhejiang gongshang university,(1) Zhejiang Gongshang University / 浙江工商大学,U00038,(1) Zhejiang Gongshang University / 浙江工商大学,,1,1
3 albanova university center royal institute technology stockholm university,(3) AlbaNova University Center Royal Institute of Technology + Stockholm University,U00040,(3) AlbaNova University Center Royal Institute of Technology + Stockholm University,,1,1
3 auburn university montgomery,(3) Auburn University Montgomery,U00041,(3) Auburn University Montgomery,,1,1
3 barnard college columbia university,(3) Barnard College Columbia University,U00042,(3) Barnard College Columbia University,,1,1
