system,ref_year,N,maxrank,cut
ARWU,2003,498,500.0,1.3851716082134355
ARWU,2004,499,502.0,1.3840820473421254
ARWU,2005,500,500.0,1.382994127100638
ARWU,2006,499,500.0,1.3840820473421254
ARWU,2007,510,510.0,1.3722038089987263
ARWU,2008,501,503.0,1.3819078412718098
ARWU,2009,501,501.0,1.3819078412718098
ARWU,2010,499,500.0,1.3840820473421254
ARWU,2011,498,500.0,1.3851716082134355
ARWU,2012,499,500.0,1.3840820473421254
ARWU,2013,498,500.0,1.3851716082134355
ARWU,2014,500,500.0,1.382994127100638
ARWU,2015,500,500.0,1.382994127100638
ARWU,2016,500,500.0,1.382994127100638
ARWU,2017,800,800.0,1.1107716166367854
ARWU,2018,993,1000.0,0.9721016125627848
ARWU,2019,998,1000.0,0.9687565569875393
ARWU,2020,999,1000.0,0.9680888458785382
ARWU,2021,1000,1000.0,0.967421566101701
ARWU,2022,998,1000.0,0.9687565569875393
ARWU,2023,231,300.0,1.7683644242721617
ARWU,2024,232,300.0,1.7663727520943764
ARWU,2025,231,300.0,1.7683644242721617
CWUR,2012,100,100.0,2.128045234184983
CWUR,2013,100,100.0,2.128045234184983
CWUR,2014,994,1000.0,0.9714317319031104
CWUR,2015,994,1000.0,0.9714317319031104
CWUR,2016,120,120.0,2.0537489106318225
CWUR,2017,120,120.0,2.0537489106318225
CWUR,2018,120,120.0,2.0537489106318225
CWUR,2019,120,120.0,2.0537489106318225
CWUR,2020,120,120.0,2.0537489106318225
CWUR,2021,120,120.0,2.0537489106318225
CWUR,2022,120,120.0,2.0537489106318225
CWUR,2023,120,120.0,2.0537489106318225
CWUR,2024,1896,2000.0,0.47891373411225563
CWUR,2025,1920,1999.0,0.4676987991145081
Leiden,2019,962,963.0,0.9930888305821395
Leiden,2020,1171,1176.0,0.8590130189885156
Leiden,2021,1222,1225.0,0.8285955033390336
NTU,2007,99,100.0,2.1320832908065004
NTU,2008,99,100.0,2.1320832908065004
NTU,2009,100,100.0,2.128045234184983
NTU,2010,100,100.0,2.128045234184983
NTU,2011,100,100.0,2.128045234184983
NTU,2012,100,100.0,2.128045234184983
NTU,2013,100,98.0,2.128045234184983
NTU,2014,100,100.0,2.128045234184983
NTU,2015,100,100.0,2.128045234184983
NTU,2016,100,100.0,2.128045234184983
NTU,2017,100,99.0,2.128045234184983
NatureIndex,2016,120,120.0,2.0537489106318225
NatureIndex,2019,252,270.0,1.7279343223884185
NatureIndex,2021,496,500.0,1.3873556768943005
NatureIndex,2023,120,120.0,2.0537489106318225
NatureIndex,2025,1705,2999.0,0.5705077999432735
QS,2011,487,500.0,1.3972668740500784
QS,2012,844,866.0,1.077328949862083
QS,2013,898,900.0,1.0378640911503523
QS,2014,885,885.0,1.0472159295232384
QS,2015,878,701.0,1.052289676418853
QS,2016,903,701.0,1.0342913060346124
QS,2017,964,1001.0,0.9917216367798959
QS,2018,987,801.0,0.9761300936980973
QS,2019,1058,1001.0,0.9294292662041361
QS,2020,1151,1001.0,0.8711602388098623
QS,2021,1293,1201.0,0.7874815922199551
QS,2022,1412,1401.0,0.7213947648307913
QS,2023,1482,1401.0,0.6839606723506823
QS,2024,1490,1401.0,0.67974384828118
QS,2025,1471,1401.0,0.6897787510228818
QS,2026,1474,1401.0,0.6881896935800517
ReutersEU,2016,94,100.0,2.1528135687004304
ReutersEU,2017,98,100.0,2.1361564152457917
ReutersEU,2018,97,100.0,2.1402652906926427
ReutersEU,2019,50,50.0,2.3939797998185104
ReutersWorld,2015,89,100.0,2.174512513503607
ReutersWorld,2017,89,100.0,2.174512513503607
ReutersWorld,2018,89,100.0,2.174512513503607
ReutersWorld,2019,89,100.0,2.174512513503607
SCImago,2009,299,300.0,1.6464717740681767
SCImago,2010,298,300.0,1.648094243828657
SCImago,2011,301,300.0,1.6432397752921348
SCImago,2012,299,300.0,1.6464717740681767
SCImago,2013,299,300.0,1.6464717740681767
SCImago,2014,297,300.0,1.649721063683362
SCImago,2015,299,300.0,1.6464717740681767
SCImago,2016,300,300.0,1.6448536269514722
SCImago,2017,299,299.0,1.6464717740681767
SCImago,2018,300,300.0,1.6448536269514722
SCImago,2019,299,300.0,1.6464717740681767
SCImago,2024,297,300.0,1.649721063683362
THE,2010,200,199.0,1.8339146358159146
THE,2011,402,400.0,1.4985130678799763
THE,2012,400,400.0,1.501085946044025
THE,2013,400,400.0,1.501085946044025
THE,2014,401,400.0,1.4997982659350504
THE,2015,799,800.0,1.1115461582392423
THE,2016,980,981.0,0.9808501026143479
THE,2017,1100,1103.0,0.9027347916438648
THE,2018,1256,1258.0,0.8087366074387851
THE,2019,1397,1397.0,0.729547755814627
THE,2020,1523,1526.0,0.6624752887332847
THE,2021,1655,2112.0,0.5952645224517829
THE,2022,1791,2345.0,0.5287195690601938
THE,2023,1895,2671.0,0.47938232297871575
THE,2024,2027,2855.0,0.41838361176000655
THE,2025,2052,3118.0,0.4070108762644654
USNews,2014,150,252.0,1.959963984540054
USNews,2015,150,584.0,1.959963984540054
USNews,2016,150,206.0,1.959963984540054
USNews,2017,150,178.0,1.959963984540054
USNews,2018,150,165.0,1.959963984540054
USNews,2025,2103,2248.0,0.3839709213082388
Webometrics,2025,2186,4993.0,0.3468997071460095
