system,editions,years,median_list_length,alpha_discrimination,alpha_sd,beta_location,sigma_noise,reliability,reliability_lo,reliability_hi
ARWU,23,2003-2025,500.0,0.5018470857290922,0.0036005115175632564,1.0043677075127844,0.08155768591868824,0.9742556422130838,0.9721730846431368,0.9762122212447002
USNews,6,2014-2025,150.0,0.5219311020186684,0.004438760818470985,0.9200635747330154,0.19068252112959552,0.8822093974258327,0.8747826079860694,0.8892243142132364
CWUR,14,2012-2025,120.0,0.5158983567631333,0.0040081749714878726,0.9182803902233242,0.21820524682737685,0.8482258923225202,0.8416485735407341,0.8544394604613367
NTU,11,2007-2017,100.0,0.4106736655064138,0.009113600630982927,1.2581928820083073,0.2147846835962893,0.7850401549727216,0.7642065052532687,0.8053362116200531
THE,16,2010-2025,1178.0,0.5181995739666944,0.003907061609323209,0.9216718260263513,0.27752735597414135,0.777085357882339,0.7705861390287095,0.7841953053033538
Webometrics,1,2025-2025,2186.0,0.6159500603986016,0.009038901727150104,0.7712593247967126,0.35011571869268526,0.7557120855149807,0.7386780939602641,0.771677200912538
QS,16,2011-2026,1022.5,0.44656320323089954,0.003657243038584048,0.9943099970900819,0.30662316506755555,0.6795756048429739,0.6710399332410777,0.6886671652370437
NatureIndex,5,2016-2025,252.0,0.4950630319750711,0.006374324657333484,0.8409804203448753,0.37310121245973704,0.6377231944456374,0.6216476261867835,0.6541118194798606
Leiden,3,2019-2021,1171.0,0.3794854274669958,0.006274696218851069,1.1031183201943802,0.3231985621196868,0.5795304625829928,0.560422475673594,0.5991444492968598
SCImago,12,2009-2024,299.0,0.33346719936683766,0.005961228300006885,1.3302550277574359,0.3146221414598545,0.5290008519272081,0.5077130540857244,0.5487781921012189
ReutersWorld,4,2015-2019,89.0,0.24053997863801901,0.01585300751451605,1.7767310313929685,0.3030879345806126,0.38638608158940707,0.31822003473977684,0.4529780006942456
ReutersEU,4,2016-2019,95.5,0.2511634410737929,0.019434156172695227,1.9555674630086044,0.3306233374929623,0.36580898398348327,0.28318198904918296,0.44003394197745865
