year,rank_display,rank_low,rank_high,is_band,institution,region,total_score
2024,1,1,1,0,Harvard University,United States,100
2024,2,2,2,0,Stanford University,United States,75.6
2024,3,3,3,0,Massachusetts Institute of Technology (MIT),United States,69.5
2024,4,4,4,0,University of Cambridge,United Kingdom,67.8
2024,5,5,5,0,"University of California, Berkeley",United States,62
2024,6,6,6,0,University of Oxford,United Kingdom,60
2024,7,7,7,0,Princeton University,United States,58.8
2024,8,8,8,0,California Institute of Technology,United States,55.1
2024,8,8,8,0,Columbia University,United States,55.1
2024,10,10,10,0,University of Chicago,United States,54.4
2024,11,11,11,0,Yale University,United States,52.8
2024,12,12,12,0,Cornell University,United States,50.8
2024,12,12,12,0,Paris-Saclay University,France,50.8
2024,14,14,14,0,University of Pennsylvania,United States,49.3
2024,15,15,15,0,"University of California, Los Angeles",United States,48.4
2024,16,16,16,0,University College London,United Kingdom,47.1
2024,17,17,17,0,Johns Hopkins University,United States,46
2024,18,18,18,0,"University of California, San Diego",United States,45.9
2024,18,18,18,0,University of Washington,United States,45.9
2024,20,20,20,0,"University of California, San Francisco",United States,45.4
2024,21,21,21,0,ETH Zurich,Switzerland,44.5
2024,22,22,22,0,Tsinghua University,China,43.3
2024,23,23,23,0,Washington University in St. Louis,United States,40.1
2024,24,24,24,0,Peking University,China,39.9
2024,25,25,25,0,Imperial College London,United Kingdom,39.7
2024,26,26,26,0,University of Toronto,Canada,39.6
2024,27,27,27,0,Zhejiang University,China,39
2024,28,28,28,0,The University of Tokyo,Japan,38.6
2024,29,29,29,0,Rockefeller University,United States,38.2
2024,30,30,30,0,University of Michigan-Ann Arbor,United States,38
2024,31,31,31,0,New York University,United States,37.7
2024,32,32,32,0,University of Copenhagen,Denmark,37
2024,33,33,33,0,Northwestern University,United States,36.9
2024,33,33,33,0,PSL University,France,36.9
2024,35,35,35,0,University of North Carolina at Chapel Hill,United States,36.2
2024,36,36,36,0,University of Wisconsin - Madison,United States,36
2024,37,37,37,0,The University of Melbourne,Australia,35.4
2024,38,38,38,0,Shanghai Jiao Tong University,China,34.8
2024,39,39,39,0,Duke University,United States,34.6
2024,40,40,40,0,The University of Edinburgh,United Kingdom,34.4
2024,41,41,41,0,Sorbonne University,France,34.2
2024,42,42,42,0,University of Science and Technology of China,China,34.1
2024,43,43,43,0,Karolinska Institute,Sweden,33.8
2024,43,43,43,0,University of Munich,Germany,33.8
2024,45,45,45,0,Kyoto University,Japan,33.6
2024,45,45,45,0,The University of Texas at Austin,United States,33.6
2024,47,47,47,0,Technical University of Munich,Germany,33.3
2024,47,47,47,0,University of British Columbia,Canada,33.3
2024,47,47,47,0,"University of Minnesota, Twin Cities",United States,33.3
2024,50,50,50,0,Fudan University,China,33.1
2024,50,50,50,0,Heidelberg University,Germany,33.1
2024,52,52,52,0,The University of Manchester,United Kingdom,32.9
2024,53,53,53,0,King's College London,United Kingdom,32.7
2024,54,54,54,0,The University of Texas Southwestern Medical Center at Dallas,United States,32.5
2024,55,55,55,0,Swiss Federal Institute of Technology Lausanne,Switzerland,32.2
2024,55,55,55,0,University of Illinois at Urbana-Champaign,United States,32.2
2024,55,55,55,0,Utrecht University,Netherlands,32.2
2024,58,58,58,0,University of Geneva,Switzerland,32
2024,58,58,58,0,"University of Maryland, College Park",United States,32
2024,60,60,60,0,Université Paris Cité,France,30.9
2024,61,61,61,0,University of Bonn,Germany,30.7
2024,62,62,62,0,University of Southern California,United States,30.6
2024,63,63,63,0,The University of Queensland,Australia,30.5
2024,64,64,64,0,"University of California, Santa Barbara",United States,30.4
2024,65,65,65,0,University of Colorado at Boulder,United States,30.3
2024,66,66,66,0,Vanderbilt University,United States,30.2
2024,67,67,67,0,University of Zurich,Switzerland,30
2024,68,68,68,0,National University of Singapore,Singapore,29.7
2024,69,69,69,0,The University of Hong Kong,China-Hong Kong,29.5
