category,code,subject,editions
Natural Sciences,AS0101,Mathematics,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Natural Sciences,AS0102,Physics,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Natural Sciences,AS0103,Chemistry,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Natural Sciences,AS0104,Earth Sciences,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Natural Sciences,AS0105,Geography,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Natural Sciences,AS0106,Ecology,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Natural Sciences,AS0107,Oceanography,"2025,2024,2023,2022,2021,2020,2019,2018"
Natural Sciences,AS0108,Atmospheric Science,"2025,2024,2023,2022,2021,2020,2019,2018"
Engineering,AS0201,Mechanical Engineering,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0202,Electrical & Electronic Engineering,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0205,Automation & Control,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0206,Telecommunication Engineering,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0207,Instruments Science & Technology,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0208,Biomedical Engineering,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0210,Computer Science & Engineering,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0211,Civil Engineering,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0212,Chemical Engineering,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0213,Materials Science & Engineering,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0214,Nanoscience & Nanotechnology,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0215,Energy Science & Engineering,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0216,Environmental Science & Engineering,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0217,Water Resources,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0219,Food Science & Technology,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0220,Biotechnology,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0221,Aerospace Engineering,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0222,Marine/Ocean Engineering,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0223,Transportation Science & Technology,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0224,Remote Sensing,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0226,Mining & Mineral Engineering,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0227,Metallurgical Engineering,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Engineering,AS0228,Textile Science & Engineering,"2025,2024,2023"
Engineering,AS0229,Artificial Intelligence,2025
Engineering,AS0230,Robotic Science & Engineering,2025
Life Sciences,AS0301,Biological Sciences,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Life Sciences,AS0302,Human Biological Sciences,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Life Sciences,AS0303,Agricultural Sciences,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Life Sciences,AS0304,Veterinary Sciences,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Medical Sciences,AS0401,Clinical Medicine,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Medical Sciences,AS0402,Public Health,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Medical Sciences,AS0403,Dentistry & Oral Sciences,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Medical Sciences,AS0404,Nursing,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Medical Sciences,AS0405,Medical Technology,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Medical Sciences,AS0406,Pharmacy & Pharmaceutical Sciences,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Social Sciences,AS0501,Economics,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Social Sciences,AS0502,Statistics,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Social Sciences,AS0503,Law,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Social Sciences,AS0504,Political Sciences,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Social Sciences,AS0505,Sociology,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Social Sciences,AS0506,Education,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Social Sciences,AS0507,Communication,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Social Sciences,AS0508,Psychology,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Social Sciences,AS0509,Business Administration,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Social Sciences,AS0510,Finance,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Social Sciences,AS0511,Management,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Social Sciences,AS0512,Public Administration,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Social Sciences,AS0513,Hospitality & Tourism Management,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
Social Sciences,AS0515,Library & Information Science,"2025,2024,2023,2022,2021,2020,2019,2018,2017"
