dropped,n_obs_removed,spearman_all,spearman_observed,spearman_top200_mean,minutes
ARWU,30935,0.9957191744657485,0.9968837885960447,0.9445828645716144,0.9780282855033875
THE,38640,0.9944229432700086,0.9964209719133171,0.965844771119278,0.9408048152923584
QS,29440,0.9879683640260777,0.9923738723137412,0.9949624990624767,0.9392361521720887
CWUR,32382,0.9913448972931452,0.9944528001975808,0.9890598514962875,0.8915793339411417
SCImago,81481,0.9299322794506132,0.9764485629319248,0.9692537313432837,0.8142800331115723
Leiden,17796,0.9975626575209295,0.9985739527736552,0.9966698073454184,0.9270180861155192
URAP,45019,0.9636840969951226,0.9739898582483635,0.9908802095052378,0.8718411882718404
Webometrics,83512,0.9763721371694136,0.9902477354878325,0.9821684134918867,0.77964106798172
USNews,26830,0.9972033867839096,0.9981329848151478,0.9947415560389011,0.902961266040802
NTU,29460,0.9962034968802167,0.9970320840449207,0.9646715542888574,0.8899104515711467
